Common Name,Scientific Name,Order,Clade,Family
American Goshawk,Accipiter atricapillus,Accipitriformes,Clade 2.3.4.4b,
Bald Eagle,Haliaeetus leucocephalus,Accipitriformes,Clade 2.3.4.4b,
Broad Winged Hawk,Buteo platypterus,Accipitriformes,Clade 2.3.4.4b,
Buteogallus Urubitinga,Buteogallus urubitinga,Accipitriformes,Clade 2.3.4.4b,
Common Buzzard,Buteo buteo,Accipitriformes,Clade 2.3.4.4b,
Cooper's Hawk,Accipiter cooperii,Accipitriformes,Clade 2.3.4.4b,
Creasted Eagle,Morphnus guianensis,Accipitriformes,Clade 1,
Eurasian Sparrowhawk,Accipiter nisus,Accipitriformes,Clade 2.3.4.4b,
Ferruginous Hawk,Buteo regalis,Accipitriformes,Clade 2.3.4.4b,
Golden Eagle,Aquila chrysaetos,Accipitriformes,Clade 2.3.4.4b,
Goshawk,Accipiter gentilis,Accipitriformes,Clade 2.3.4.4b,
Haliaeetus Albicilla,Haliaeetus albicilla,Accipitriformes,Clade 2.3.4.4b,
Harris's Hawk,Parabuteo unicinctus,Accipitriformes,Clade 2.3.4.4b,
Hooded Vulture,Necrosyrtes monachus,Accipitriformes,Clade 2.3.4.4b,
Mountain Hawk Eagle,Nisaetus nipalensis,Accipitriformes,Prior,
Northern Harrier,Circus hudsonius,Accipitriformes,Clade 2.3.4.4b,
Osprey,Pandion haliaetus,Accipitriformes,Clade 2.3.4.4b,
Red Shouldered Hawk,Buteo lineatus,Accipitriformes,Clade 2.3.4.4b,
Red Tailed Hawk,Buteo jamaicensis,Accipitriformes,Clade 2.3.4.4b,
Rough Legged Hawk,Buteo lagopus,Accipitriformes,Clade 2.3.4.4b,
Sharp Shinned Hawk,Accipiter striatus,Accipitriformes,Clade 2.3.4.4b,
Swainson's Hawk,Buteo swainsoni,Accipitriformes,Clade 2.3.4.4b,
American Black Duck,Anas rubripes,Anseriformes,Clade 2.3.4.4b,
American Blue Winged Teal,Spatula discors,Anseriformes,Clade 2.3.4.4b,
American Green Winged Teal,Anas crecca carolinensis,Anseriformes,Clade 2.3.4.4b,
American Wigeon,Anas americana ,Anseriformes,Clade 2.3.4.4b,
Andean Goose,Chloephaga melanoptera,Anseriformes,Clade 2.3.4.4b,
Andean Teal,Anas andium,Anseriformes,Clade 2.3.4.4b,
Andean White Winged Duck,Asarcornis scutulata,Anseriformes,Clade 2.3.4.4b,
Australian Shelduck,Tadorna tadornoides,Anseriformes,Clade 2.3.4.4b,
Baikal Teal,Sibirionetta formosa,Anseriformes,Clade 2.3.4.4b,
Bar Headed Goose,Anser indicus,Anseriformes,Clade 2.3.4.4b,
Barrow's Goldeneye,Bucephala islandica,Anseriformes,Clade 2.3.4.4b,
Bewick's Swan,Cygnus columbianus bewickii,Anseriformes,Clade 2.3.4.4b,
Black Brant,Branta bernicla nigricans,Anseriformes,Clade 2.3.4.4b,
Black Necked Swan,Cygnus melancoryphus,Anseriformes,Clade 2.3.4.4b,
Black Scoter,Melanitta americana,Anseriformes,Clade 2.3.4.4b,
Black Swan,Cygnus atratus,Anseriformes,Clade 2.3.4.4b,
Brandt Goose,Branta bernicla bernicla ,Anseriformes,Clade 2.3.4.4b,
Bufflehead Duck,Bucephala albeola,Anseriformes,Clade 2.3.4.4b,
Cackling Goose,Branta hutchinsii,Anseriformes,Clade 2.3.4.4b,
Canada Goose,Branta canadensis,Anseriformes,Clade 2.3.4.4b,
Canvasback,Aythya valisineria,Anseriformes,Clade 2.3.4.4b,
Cape Teal,Anas capensis,Anseriformes,Clade 2.3.4.4b,
Cascade Duck,Merganetta armata,Anseriformes,Clade 2.3.4.4b,
Chiloe Wigeon,Mareca sibilatrix,Anseriformes,Clade 2.3.4.4b,
Chinese Goose,Anser cygnoides domesticus,Anseriformes,Clade 2.3.4.4b,
Cinnamon Teal,Spatula cyanoptera,Anseriformes,Clade 2.3.4.4b,
Common Eider,Somateria mollissima,Anseriformes,Clade 2.3.4.4b,
Common Goldeneye,Bucephala clangula,Anseriformes,Clade 2.3.4.4b,
Common Merganser,Mergus merganser,Anseriformes,Clade 2.3.4.4b,
Common Pochard,Aythya ferina,Anseriformes,Clade 2.3.4.4b,
Common Scoter,Melanitta nigra,Anseriformes,Clade 2.3.4.4b,
Common Teal,Anas crecca,Anseriformes,Clade 2.3.4.4b,
Diving Duck,Tribe Aythyini (diving ducks),Anseriformes,Clade 2.3.4.4b,
Domestic Goose,Anser anser domesticus,Anseriformes,Clade 2.3.4.4b,
Egyptian Goose,Alopochen aegyptiaca,Anseriformes,Clade 2.3.4.4b,
Gadwall,Mareca strepera,Anseriformes,Clade 2.3.4.4b,
Graylag Goose,Anser anser,Anseriformes,Clade 2.3.4.4b,
Greater Scaup,Aythya marila,Anseriformes,Clade 2.3.4.4b,
Greater White Fronted Goose,Anser albifrons,Anseriformes,Clade 2.3.4.4b,
Hooded Merganser,Lophodytes cucullatus,Anseriformes,Clade 2.3.4.4b,
Lesser Scaup,Aythya affinis,Anseriformes,Clade 2.3.4.4b,
Lesser Snow Goose,Anser caerulescens caerulescens,Anseriformes,Clade 2.3.4.4b,
Lesser Whistlingduck,Dendrocygna javanica,Anseriformes,Prior,
Lesser White-fronted Goose,Anser erythropus,Anseriformes,Clade 2.3.4.4b,
Long Tailed Duck,Clangula hyemalis,Anseriformes,Clade 2.3.4.4b,
Mallard Duck,Anas platyrhynchos,Anseriformes,Clade 2.3.4.4b,
Mandarin Duck,Aix galericulata,Anseriformes,Clade 2.3.4.4b,
Eurasian Wigeon,Mareca penelope,Anseriformes,Clade 2.3.4.4b,
Mottled Duck,Anas fulvigula,Anseriformes,Clade 2.3.4.4b,
Muscovy Duck,Cairina moschata,Anseriformes,Clade 2.3.4.4b,
Mute Swan,Cygnus olor,Anseriformes,Clade 2.3.4.4b,
Northern Pintail,Anas acuta,Anseriformes,Clade 2.3.4.4b,
Northern Shoveler,Spatula clypeata,Anseriformes,Clade 2.3.4.4b,
Pacific Black Duck,Anas superciliosa,Anseriformes,Clade 2.3.4.4b,
Pacific Common Eider,Somateria mollissima v-nigrum,Anseriformes,Clade 2.3.4.4b,
Pacific Wigeon,Mareca americana,Anseriformes,Clade 2.3.4.4b,
Philippine Duck,Anas luzonica,Anseriformes,Clade 2.3.4.4b,
Pink Footed Goose,Anser brachyrhynchus,Anseriformes,Clade 2.3.4.4b,
Red Breasted Merganser,Mergus serrator,Anseriformes,Clade 2.3.4.4b,
Red Necked Goose,Branta ruficollis,Anseriformes,Clade 2.3.4.4b,
Red Crested Pochard,Netta rufina,Anseriformes,Prior,
Redhead Duck,Aythya americana,Anseriformes,Clade 2.3.4.4b,
Ring Necked Duck,Aythya collaris,Anseriformes,Clade 2.3.4.4b,
Ringed Teal Domestic Duck,Callonetta leucophrys,Anseriformes,Clade 2.3.4.4b,
Ross's Goose,Anser rossii,Anseriformes,Clade 2.3.4.4b,
Ruddy Shelduck,Tadorna ferruginea,Anseriformes,Clade 2.3.4.4b,
Smew,Mergellus albellus,Anseriformes,Clade 2.3.4.4b,
Snow Goose,Anser caerulescens,Anseriformes,Clade 2.3.4.4b,
Spectacled Eider,Somateria fischeri,Anseriformes,Clade 2.3.4.4b,
Spot Billed Duck,Anas poecilorhyncha,Anseriformes,Clade 2.3.4.4b,
Stejneger's Scoter,Melanitta stejnegeri,Anseriformes,Clade 2.3.4.4b,
