Accipiter atricapillus
Morphnus guianensis
Circus hudsonius
Spatula discors
Chloephaga melanoptera
Anas andium
Tadorna tadornoides
Cygnus columbianus bewickii
Branta bernicla nigricans
Cygnus melancoryphus
Branta bernicla bernicla
Branta hutchinsii
Aythya valisineria
Anas capensis
Merganetta armata
Mareca sibilatrix
Spatula cyanoptera
Melanitta nigra
Tribe Aythyini (diving ducks)
Alopochen aegyptiaca
Aythya affinis
Anser caerulescens caerulescens
Anas fulvigula
Anas luzonica
Anser brachyrhynchus
Branta ruficollis
Aythya collaris
Anser rossii
Mergellus albellus
Anser caerulescens
Cygnus buccinator
Chloephaga picta
Cygnus columbianus columbianus
Aix sponsa
Anas undulata
Cypseloides niger
Chroicocephalus serranus
Larus belcheri
Cepphus grylle
Limosa limosa
Chroicocephalus philadelphia
Larus californicus
Larus canus
Sterna striata
Thalasseus elegans
Leucophaeus pipixcan
Larus hyperboreus
Larus glaucescens
Leucophaeus modestus
Larus marinus
Ichthyaetus ichthyaetus
Larus heermanni
Larosterna inca
Pagophila eburnea
Larus fuscus
Phalaropus fulicarius
Larus delawarensis
Xema sabini
Thalasseus sandvicensis
Larus brachyrhynchus
Chroicocephalus novaehollandiae
Larus schistisagus
Charadrius nivosus
Sterna hirundinacea
Burhinus oedicnemus
Thalasseus acuflavidus
Larus glaucoides thayeri
Calidris mauri
Charadrius nivosus nivosus
Anastomus oscitans
Leptoptilos crumenifer
Falco biarmicus
Falco chicquera
Phasianus torquatus
Meleagris gallopavo domesticus
Lagopus lagopus scotica
Alectoris rufa
Chlamydotis undulata
Bombycilla cedrorum
Lonchura atricapilla
Coloeus dauuricus
Agropsar sturninus
Sialia sialis
Corvus tristis
Pica pica (if Eurasian)
Corvus caurinus
Anthus rufulus
Acrocephalus schoenobaenus
Lanius spp.
Hirundinidae spp.
Spizella arborea
Pelecanus erythrorhynchos
Ardea herodias
Butorides virescens
Pelecanus thagus
Ardeola grayii
Egretta thula
Colymbus nigricollis
Aechmophorus clarkii
Podiceps nigricollis
Podiceps major
Podiceps grisegena
Homo sapiens
Puffinus puffinus
Fulmarus glacialis
Procellaria aequinoctialis
Ardenna tenuirostris
Ara hybrida
Spheniscidae spp.
Athene cunicularia
Megascops asio
Strix nebulosa
Megascops choliba
Megascops kennicottii
Sula leucogaster
Gulosus aristotelis
Leucocarbo bougainvillii
Nannopterum brasilianus
Morus bassanus
Sula variegata
