original_species,mapped_species,accession,feature_location,product,sequence_length,search_level,status,ncbi_url,notes
Accipiter atricapillus,Accipiter atricapillus,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Accipiter atricapillus,Accipiter badius,PX112822.1,[<0:>345](+),large subunit ribosomal RNA,345,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PX112822.1,
Morphnus guianensis,Morphnus guianensis,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Morphnus guianensis,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Circus hudsonius,Circus hudsonius,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Circus hudsonius,Circus pygargus,PQ238358.1,[<0:>508](+),large subunit ribosomal RNA,508,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PQ238358.1,
Spatula discors,Spatula discors,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Spatula discors,Spatula clypeata,PQ726978.1,[2199:3744](+),16S ribosomal RNA,1545,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PQ726978.1,
Chloephaga melanoptera,Chloephaga melanoptera,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Chloephaga melanoptera,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Anas andium,Anas andium,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Anas andium,Anas platyrhynchos,PX112823.1,[<0:>351](+),large subunit ribosomal RNA,351,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PX112823.1,
Tadorna tadornoides,Tadorna tadornoides,PQ723607.1,[1138:2741](+),16S ribosomal RNA,1603,DIRECT,DIRECT_16S_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PQ723607.1,
Cygnus columbianus bewickii,Cygnus columbianus bewickii,DQ083161.1,[4182:5789](+),16S ribosomal RNA,1607,DIRECT,DIRECT_16S_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/DQ083161.1,
Branta bernicla nigricans,Branta bernicla nigricans,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Branta bernicla nigricans,Branta canadensis,PV132446.1,[1143:2725](+),16S ribosomal RNA,1582,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PV132446.1,
Cygnus melancoryphus,Cygnus melancoryphus,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Cygnus melancoryphus,Cygnus sumnerensis,PQ723617.1,[1127:2729](+),16S ribosomal RNA,1602,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PQ723617.1,
Branta bernicla bernicla,Branta bernicla bernicla,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Branta bernicla bernicla,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Branta hutchinsii,Branta hutchinsii,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Branta hutchinsii,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Aythya valisineria,Aythya valisineria,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Aythya valisineria,Aythya innotata,PV911323.1,[<0:>307](+),large subunit ribosomal RNA,307,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PV911323.1,
Anas capensis,Anas capensis,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Anas capensis,Anas melleri,PV911318.1,[<0:>307](+),large subunit ribosomal RNA,307,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PV911318.1,
Merganetta armata,Merganetta armata,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Merganetta armata,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Mareca sibilatrix,Mareca sibilatrix,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Mareca sibilatrix,Mareca americana,PQ726984.1,[2216:3745](+),16S ribosomal RNA,1529,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PQ726984.1,
Spatula cyanoptera,Spatula cyanoptera,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Spatula cyanoptera,Spatula clypeata,OR243146.1,[1126:2729](+),16S ribosomal RNA,1603,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/OR243146.1,
Melanitta nigra,Melanitta nigra,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Melanitta nigra,,,,,,GENUS_STANDIN,ONLY_DUPLICATE_16S_GENUS,,"Genus-level search found only duplicate 16S sequences; existing species: Melanitta americana, Melanitta deglandi, Melanitta perspicillata, Melanitta stejnegeri"
Tribe Aythyini (diving ducks),Tribe Aythyini (diving ducks),,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Tribe Aythyini (diving ducks),,,,,,GENUS_STANDIN,NO_GENUS_HITS,,No genus-level nuccore hits.
Alopochen aegyptiaca,Alopochen aegyptiaca,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Alopochen aegyptiaca,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Aythya affinis,Aythya affinis,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Aythya affinis,Aythya novaeseelandiae,PQ723592.1,[1124:2727](+),16S ribosomal RNA,1603,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PQ723592.1,
Anser caerulescens caerulescens,Anser caerulescens caerulescens,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Anser caerulescens caerulescens,,,,,,GENUS_STANDIN,ONLY_DUPLICATE_16S_GENUS,,"Genus-level search found only duplicate 16S sequences; existing species: Anser anser, Anser anser domesticus, Anser cygnoides, Anser cygnoides domesticus, Anser erythropus"
Anas fulvigula,Anas fulvigula,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Anas fulvigula,Anas platyrhynchos,LC880101.1,[1146:2699](+),16S ribosomal RNA,1553,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/LC880101.1,
Anas luzonica,Anas luzonica,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Anas luzonica,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Anser brachyrhynchus,Anser brachyrhynchus,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Anser brachyrhynchus,,,,,,GENUS_STANDIN,ONLY_DUPLICATE_16S_GENUS,,"Genus-level search found only duplicate 16S sequences; existing species: Anser anser, Anser anser domesticus, Anser cygnoides, Anser cygnoides domesticus, Anser erythropus"
Branta ruficollis,Branta ruficollis,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Branta ruficollis,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Aythya collaris,Aythya collaris,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Aythya collaris,Aythya marila,OR242842.1,[2189:3793](+),16S ribosomal RNA,1604,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/OR242842.1,
Anser rossii,Anser rossii,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Anser rossii,,,,,,GENUS_STANDIN,ONLY_DUPLICATE_16S_GENUS,,"Genus-level search found only duplicate 16S sequences; existing species: Anser anser, Anser anser domesticus, Anser cygnoides, Anser cygnoides domesticus, Anser erythropus"
Mergellus albellus,Mergellus albellus,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Mergellus albellus,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Anser caerulescens,Anser caerulescens,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Anser caerulescens,,,,,,GENUS_STANDIN,ONLY_DUPLICATE_16S_GENUS,,"Genus-level search found only duplicate 16S sequences; existing species: Anser anser, Anser anser domesticus, Anser cygnoides, Anser cygnoides domesticus, Anser erythropus"
Cygnus buccinator,Cygnus buccinator,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Cygnus buccinator,Cygnus sumnerensis,PQ723616.1,[1128:2731](+),16S ribosomal RNA,1603,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PQ723616.1,
Chloephaga picta,Chloephaga picta,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Chloephaga picta,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Cygnus columbianus columbianus,Cygnus columbianus columbianus,,,,,DIRECT,ONLY_DUPLICATE_16S_DIRECT,,Only duplicate 16S sequences found at species level; existing species: Cygnus columbianus
Cygnus columbianus columbianus,,,,,,GENUS_STANDIN,ONLY_DUPLICATE_16S_GENUS,,"Genus-level search found only duplicate 16S sequences; existing species: Cygnus atratus, Cygnus cygnus, Cygnus olor"
Aix sponsa,Aix sponsa,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Aix sponsa,Aix galericulata,KJ169568.1,[1138:2740](+),16S ribosomal RNA,1602,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/KJ169568.1,
Anas undulata,Anas undulata,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Anas undulata,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Cypseloides niger,Cypseloides niger,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Cypseloides niger,Cypseloides fumigatus,NC_034933.1,[1110:2707](+),16S ribosomal RNA,1597,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/NC_034933.1,
Chroicocephalus serranus,Chroicocephalus serranus,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Chroicocephalus serranus,Chroicocephalus saundersi,NC_056775.1,[1109:2711](+),16S ribosomal RNA,1602,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/NC_056775.1,
Larus belcheri,Larus belcheri,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Larus belcheri,Larus hyperboreus,OR242975.1,[1142:2706](+),16S ribosomal RNA,1564,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/OR242975.1,
Cepphus grylle,Cepphus grylle,MN356419.1,[1111:2705](+),16S ribosomal RNA,1594,DIRECT,DIRECT_16S_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/MN356419.1,
Limosa limosa,Limosa limosa,PP737171.1,[1115:2707](+),16S ribosomal RNA,1592,DIRECT,DIRECT_16S_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PP737171.1,
Chroicocephalus philadelphia,Chroicocephalus philadelphia,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Chroicocephalus philadelphia,Chroicocephalus maculipennis,NC_052812.1,[1106:2702](+),16S ribosomal RNA,1596,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/NC_052812.1,
Larus californicus,Larus californicus,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Larus californicus,Larus hyperboreus,OR242973.1,[1142:2706](+),16S ribosomal RNA,1564,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/OR242973.1,
Larus canus,Larus canus,OR242965.1,[1142:2706](+),16S ribosomal RNA,1564,DIRECT,DIRECT_16S_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/OR242965.1,
Sterna striata,Sterna striata,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Sterna striata,Sterna vittata,OR771716.1,[1111:2707](+),16S ribosomal RNA,1596,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/OR771716.1,
Thalasseus elegans,Thalasseus elegans,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Thalasseus elegans,Thalasseus bernsteini,PV440435.1,[1111:2707](+),16S ribosomal RNA,1596,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/PV440435.1,
Leucophaeus pipixcan,Leucophaeus pipixcan,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Leucophaeus pipixcan,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Larus hyperboreus,Larus hyperboreus,OR242966.1,[1142:2706](+),16S ribosomal RNA,1564,DIRECT,DIRECT_16S_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/OR242966.1,
Larus glaucescens,Larus glaucescens,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Larus glaucescens,Larus canus kamtschatschensis,OR242964.1,[1142:2706](+),16S ribosomal RNA,1564,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/OR242964.1,
Leucophaeus modestus,Leucophaeus modestus,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Leucophaeus modestus,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Larus marinus,Larus marinus,MN122906.1,[1142:2704](+),16S ribosomal RNA,1562,DIRECT,DIRECT_16S_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/MN122906.1,
Ichthyaetus ichthyaetus,Ichthyaetus ichthyaetus,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Ichthyaetus ichthyaetus,Ichthyaetus relictus,NC_023777.1,[1106:2705](+),16S ribosomal RNA,1599,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/NC_023777.1,
Larus heermanni,Larus heermanni,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Larus heermanni,Larus canus kamtschatschensis,OR242963.1,[1142:2706](+),16S ribosomal RNA,1564,GENUS_STANDIN,GENUS_STANDIN_FOUND,https://www.ncbi.nlm.nih.gov/nuccore/OR242963.1,
Larosterna inca,Larosterna inca,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Larosterna inca,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Pagophila eburnea,Pagophila eburnea,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
Pagophila eburnea,,,,,,GENUS_STANDIN,NO_GENUS_16S,,No acceptable 16S found at genus level (no 16S features or no usable records).
Larus fuscus,Larus fuscus,,,,,DIRECT,NO_DIRECT_16S,,No acceptable 16S found at species level (no 16S features or no records).
